techs,inheritance
132_kV,transmission
220_kV,transmission
400_kV,transmission
500_kV,transmission
Bioenergy_Power_Plant,supply
CCGT_NG_EGYPT,supply
CCGT_NG_LYBIA,supply
CCGT_NG_SUDAN,supply
CCGT_NG_TAN,supply
Diesel_Engine_DJIBOUTI,supply
Diesel_Engine_DRC,supply
Diesel_Engine_ERITREA,supply
Diesel_Engine_ETHIOPIA,supply
Diesel_Engine_KENYA,supply
Diesel_Engine_LYBIA,supply
Diesel_Engine_RWANDA,supply
Diesel_Engine_SOUTH_SUDAN,supply
Diesel_Engine_SUDAN,supply
Diesel_Engine_TAN,supply
Diesel_Engine_UGANDA,supply
Gas_Engine_BURUNDI,supply
Gas_Engine_RWANDA,supply
Gas_Engine_TANZANIA,supply
Geothermal_Power_Plant,supply
HFO_PP_KENYA,supply
HFO_PP_LYBIA,supply
HFO_PP_SUDAN,supply
HFO_PP_TANZANIA,supply
HFO_PP_UGANDA,supply
Heavy_Fuel_Oil_Power_Plant,supply
Hydro_Power_Plant_large1,supply
Hydro_Power_Plant_large10,supply
Hydro_Power_Plant_large11,supply
Hydro_Power_Plant_large12,supply
Hydro_Power_Plant_large13,supply
Hydro_Power_Plant_large14,supply
Hydro_Power_Plant_large15,supply
Hydro_Power_Plant_large16,supply
Hydro_Power_Plant_large17,supply
Hydro_Power_Plant_large18,supply
Hydro_Power_Plant_large19,supply
Hydro_Power_Plant_large2,supply
Hydro_Power_Plant_large20,supply
Hydro_Power_Plant_large21,supply
Hydro_Power_Plant_large3,supply
Hydro_Power_Plant_large4,supply
Hydro_Power_Plant_large5,supply
Hydro_Power_Plant_large6,supply
Hydro_Power_Plant_large7,supply
Hydro_Power_Plant_large8,supply
Hydro_Power_Plant_large9,supply
Hydro_Power_Plant_small1,supply
Hydro_Power_Plant_small2,supply
Hydro_Power_Plant_small3,supply
Hydro_Power_Plant_small4,supply
Hydro_Power_Plant_small5,supply
Hydro_Power_Plant_small6,supply
ICCC_NG_EGYPT,supply
ISCC_NG_EGYPT,supply
OCGT_Kerosene_KEN,supply
OCGT_LFO,supply
OCGT_NG_EGYPT,supply
OCGT_NG_LYBIA,supply
OCGT_NG_SUDAN,supply
OCGT_NG_TAN,supply
OCGT_NG_UGANDA,supply
PV_Sudan_MSR1,supply_plus
PV_Sudan_MSR2,supply_plus
PV_Sudan_MSR3,supply_plus
PV_Sudan_MSR4,supply_plus
PV_Sudan_MSR5,supply_plus
Solar_PV1,supply
Solar_PV10,supply
Solar_PV11,supply
Solar_PV12,supply
Solar_PV13,supply
Solar_PV14,supply
Solar_PV15,supply
Solar_PV16,supply
Solar_PV17,supply
Solar_PV18,supply
Solar_PV19,supply
Solar_PV2,supply
Solar_PV20,supply
Solar_PV3,supply
Solar_PV4,supply
Solar_PV5,supply
Solar_PV6,supply
Solar_PV7,supply
Solar_PV8,supply
Solar_PV9,supply
Steam_turbine_NG_EGYPT,supply
Steam_turbine_NG_LYBIA,supply
Steam_turbine_NG_SUDAN,supply
Steam_turbine_petroleum_coke_SUDAN,supply
Wind_Turbine1,supply
Wind_Turbine2,supply
Wind_Turbine3,supply
Wind_Turbine4,supply
Wind_Turbine5,supply
Wind_Turbine6,supply
Wind_Turbine7,supply
final_demand,demand
