locs,techs,energy_cap_max
Sudan,PV_Sudan_MSR1,26771558.793420002
Sudan,PV_Sudan_MSR2,130116048.05486007
Sudan,PV_Sudan_MSR3,59534832.88321001
Sudan,PV_Sudan_MSR4,28142406.858229995
Sudan,PV_Sudan_MSR5,60751567.87550001
