Sudan1,Sudan2,Sudan3,Sudan4,Sudan5
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0022315794553992,0.0006063791342918,0.0027185324929771,0.0308527028514273,0.000977169854285
0.169115873930034,0.1275301533309396,0.1691215940318673,0.2020276646227053,0.149620263150386
0.3827775105142539,0.3463748812870585,0.3905343119215843,0.3613135917576854,0.3626066551317592
0.5486991641925689,0.5230380638375091,0.5637569882879722,0.5213025522204965,0.5330549836624692
0.6542290614018973,0.6417542106278223,0.67799071943027,0.6181513070687554,0.6391984685005855
0.6889367715194176,0.6991176555487766,0.7268754866428699,0.6551214063785686,0.6913012181826129
0.6776684936978145,0.6960090761331593,0.7211834537679132,0.619303253764374,0.6797682798980907
0.6205400591505703,0.6345905111273743,0.6611039372628686,0.5452541144214642,0.6124619105061002
0.4985725206432602,0.5135522824801789,0.544787529604548,0.3958228431761532,0.4869760374795501
0.3216778511885756,0.3360717780626961,0.3724699328849931,0.2175340061593298,0.3074936410173917
0.1118046414206573,0.1210245638106777,0.1604756676590698,0.0645061263704545,0.0956014208423411
0.0009022192534756,0.0001497729411954,0.0040880049178644,0.0004841245294631,0.0001664069071718
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0022184008855064,0.0006461981555441,0.0026397702198962,0.0330554721150712,0.0016263037240305
0.1755855505133355,0.1299460199100579,0.1690217594184513,0.2100978696904698,0.178645758395899
0.3924740139445717,0.3542959570204442,0.388913997126302,0.4085771930257706,0.3975694278698449
0.5625515678980217,0.5357234347116099,0.5640155409980557,0.5691435156154688,0.5676966168596208
0.6693691040021014,0.6541649161689712,0.6771001286350241,0.6672048291871909,0.6740602743442943
0.7137361998234044,0.7099717067695547,0.7269594767292105,0.6995592883036396,0.7174702177388331
0.7017019962398958,0.7057608852381172,0.7231561746771651,0.6778965728773413,0.7035923809388153
0.6339967293638421,0.6431122252993335,0.6634265549878473,0.6034567132317485,0.6326936442170986
0.5086615554025334,0.5204427823061917,0.5465204365681408,0.4644353117370908,0.5032287857284662
0.3300680536154008,0.3414112360523361,0.3746273892484834,0.2863859522801894,0.318372185365675
0.1168817675870256,0.1245266013065875,0.1626490549267835,0.0824643605093367,0.1010993711400191
0.0005562866230041,0.0001953292541416,0.0044923794602187,0.0005302290719614,0.0003744155411365
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
