DRC_S1,DRC_S2,DRC_S3,DRC_S4,DRC_S5,DRC_S6,DRC_S7,DRC_S8,DRC_S9,DRC_S10,DRC_S11,DRC_S12,DRC_S13,DRC_S14,DRC_S15,DRC_S16,DRC_S17,DRC_S18,DRC_S19,DRC_S20,DRC_S21,DRC_S22,DRC_S23,DRC_S24,DRC_S25,DRC_S26,DRC_S27,DRC_S28,DRC_S29,DRC_S30,DRC_S31,DRC_S32,DRC_S33,DRC_S34,DRC_S35,DRC_S36,DRC_S37,DRC_S38,DRC_S39,DRC_S40,DRC_S41,DRC_S42,DRC_S43,DRC_S44,DRC_S45,DRC_S46,DRC_S47,DRC_S48,DRC_S49,DRC_S50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0106122672507841,0.0049763121225557,0.0,0.0,0.000128014842291,0.0016465517241002,0.0,0.0111904761904783,0.0,0.0071130185981044,0.0,0.0,0.0,0.0027999999999917,0.0,0.0,0.0067368421053299,0.0,0.0,0.0008203883494928,0.0032466887418486,0.0027291870714887,0.0045575980393375,0.0,0.0,0.0,0.0,0.0,0.0118734567901364,0.0,0.0,0.0042140845073032,0.0,0.0102531645569735,0.0,0.000611650485443,0.0041905829596632,0.0,0.0095297741274957,0.0,0.0039287956062172,0.0,0.0,0.0130752508361019,0.0,0.0112917748917905
0.0020883229216341,0.0302070063694061,0.00379183193467,0.0058437884378894,0.090870755750187,0.024806549001383,0.0003285714285703,0.0073311688311627,0.0124053803338093,0.0257423371647121,0.0038689024389419,0.1117269841269966,0.0042942140297333,0.0784220314738241,0.0002186409702344,0.0192300613498976,0.0146934156379013,0.0168764705882022,0.0050467196818474,0.0137733580018709,0.037279904306428,0.0,0.0045382942978789,0.0166310679611523,0.0141539735101107,0.0243011753185215,0.0609007352945568,0.0061436893205873,0.0080948717947376,0.0011207564026469,0.0020000000000545,0.0015073409461288,0.1099259259259527,0.0064136504651989,0.0110212765958141,0.0311746478871164,0.0195921052631502,0.1310488245930672,0.0082504854368158,0.015857605178173,0.0197533632288086,0.0124150943396272,0.0627741273099772,0.0093057692307338,0.0276492742254331,0.0094168768631432,0.0271782608696166,0.0879849498327795,0.0072169811321379,0.0950121212122337
0.0431102354634429,0.0449681528663183,0.0652090649979072,0.0430172201721336,0.2332278203722309,0.1279105898745448,0.0428642857139587,0.0278151515150936,0.0709712430425493,0.0890708812258321,0.0467652439024281,0.2504952380952837,0.0416931899642903,0.2382188841206425,0.0486881541780683,0.1241303680993012,0.0631275720165818,0.0650382352940949,0.0665636182900133,0.0689444958383747,0.1074090909098779,0.0220301724133258,0.0451840102778858,0.0572912621359243,0.0864685430468383,0.0397879529872677,0.1837120098047431,0.0471660194181057,0.0341743589744636,0.050528886242042,0.0637776699031855,0.0483641924961198,0.2607530864200089,0.0622523267835228,0.0524326241135832,0.1240760563374951,0.1118421052626593,0.3265786618443758,0.0938019417466358,0.0629385113274482,0.0479103139016841,0.0694204851759467,0.1061122518807678,0.0543346153844876,0.1130051000395661,0.0475670717723727,0.0777369565219041,0.2225384615387448,0.0462547169813077,0.2602545454547506
0.1378314271979914,0.092828025478195,0.2044660062592576,0.1051771217711608,0.2326254107335962,0.1141244774729203,0.1142000000000632,0.1101532467540061,0.183910946196819,0.0753141762451593,0.2301707317060264,0.3981809523815363,0.092811469534394,0.1947525035772025,0.1713110151184523,0.224972392639282,0.0780637860081102,0.2403117647057232,0.1010337972166181,0.088302497687491,0.0968672248804598,0.0570402298854385,0.0930588991012127,0.2346067961157588,0.0593791390736471,0.16932223310357,0.1352500000004078,0.1433475728174498,0.0647153846145893,0.1558978558683201,0.1045524271844704,0.1488584828719204,0.3477685185180917,0.1259234746619138,0.1545886524823304,0.1045380281694104,0.2136929824547382,0.5170560578661769,0.111044660193894,0.0706666666664242,0.2567286995505186,0.1652398921809909,0.1349678302547787,0.118309615384352,0.1365397214596235,0.109535656958993,0.0780717391305112,0.1675852842812004,0.0637641509434924,0.2351471861475948
0.1568698702536548,0.1447133757969656,0.3460618684094376,0.1364428044281397,0.2600164293535209,0.160985833719979,0.1254576923072363,0.2695480519492095,0.1742133580697944,0.1116436781607748,0.4396463414622226,0.4570793650801018,0.1328138248846447,0.2479256080117655,0.2385524173443909,0.2488527607341086,0.1160658436211604,0.2925617647056613,0.1695725646119185,0.1340730804812383,0.1311220095699461,0.1077873563226797,0.1663439075003965,0.340514563105889,0.0708890728483685,0.2287174338866051,0.135420343137595,0.2151407766983867,0.1126410256404435,0.2857167957147551,0.1580407766996023,0.1964127243067925,0.4714598765435474,0.2268986556339086,0.1907730496454881,0.1337943661976322,0.1902324561366109,0.6438806509945945,0.1348349514555798,0.0943398058246576,0.356112107620938,0.1965229110484014,0.1218323066398877,0.1720923076922592,0.1676739898003626,0.2404044943816994,0.1112934782611358,0.1813127090296754,0.1329056603773903,0.2904900432908715
