Unnamed: 0,Burundi1,DRC_E1,DRC_E2,DRC_E3,DRC_E4,DRC_S1,DRC_S2,DRC_S3,DRC_S4,DRC_S5,DRC_S6,DRC_S7,DRC_S8,DRC_S9,DRC_S10,DRC_W1,DRC_W2,DRC_W3,DRC_W4,DRC_W5,DRC_W6,DRC_W7,DRC_W8,Djibouti1,Egypt_CN1,Egypt_CN2,Egypt_UE1,Eritrea1,Ethiopia1,Ethiopia2,Ethiopia3,Ethiopia4,Ethiopia5,Ethiopia6,KEN_MTKR1,KEN_WSTR1,KEN_WSTR2,KEN_WSTR3,Libya1,Libya2,Rwanda1,SouthSudan1,Sudan1,Sudan2,Sudan3,TAN_CR1,TAN_CR2,TAN_LR1,TAN_NR1,TAN_SWR1,Uganda1,Uganda2,Uganda3
2030/01/01 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2030/01/01 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2030/01/01 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2030/01/01 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2030/01/01 04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2030/01/01 05:00:00,0,0,0,0,0,0.010846021,0,0,0,0.004378968,0.004552766,0.009694608,2.77E-05,0,0.000846371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2030/01/01 06:00:00,0.004347632,0.021353358,0.000258403,0.026216216,0.029825995,0.120726644,0.002401722,0.006161627,0.006391072,0.033681792,0.026642663,0.085343382,0.004919821,0.00940713,0.023032258,0.000128386,0,0.000330325,0.000368691,0,0.000143995,4.21E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.30E-05,0,0,0,0,0,0,0,0,0,0,0,0
2030/01/01 07:00:00,0.05306345,0.185027534,0.059773785,0.120622315,0.204254697,0.290425606,0.049313467,0.038366587,0.06704334,0.064077507,0.114013448,0.233839951,0.051834729,0.056614973,0.079962903,0.052231912,0.035083692,0.038043322,0.071410084,0.064902204,0.013059716,0.079041038,0.06365646,0.022811884,0.006276342,0.003305647,0,0.02273182,0.015848549,0.007075119,0.031484669,0.008015501,0.021056245,0.018547654,0.020020751,0.013439199,0.014878843,0.022129499,0,0,0.048885848,0.008044881,0.000553269,0.002343676,0.011625206,0.004460333,0.017984867,0.008239669,0.025449797,0.023478744,0.024003431,0.003433682,0.01989644
2030/01/01 08:00:00,0.156917784,0.410212349,0.163682857,0.206182606,0.423735697,0.445629758,0.15312344,0.09334196,0.125167582,0.169164557,0.111324975,0.202465441,0.160096826,0.117431373,0.076919758,0.237491098,0.163239563,0.107333593,0.196463825,0.167503775,0.175690324,0.250443692,0.219197449,0.174247536,0.102341299,0.132520901,0.093766053,0.11907472,0.14562608,0.093996111,0.197070068,0.11607606,0.160321235,0.134196769,0.172479495,0.148294792,0.09713622,0.162751686,0,0.008922625,0.231279856,0.184680927,0.129531387,0.168376802,0.169542601,0.102677487,0.160233607,0.10108131,0.171034286,0.127525721,0.086906141,0.071850843,0.107838869
2030/01/01 09:00:00,0.205819482,0.582141427,0.275778907,0.361225918,0.601113211,0.553694637,0.22836619,0.19935755,0.158476018,0.209885297,0.145214773,0.236295833,0.211468034,0.201297326,0.110110081,0.381863907,0.261827707,0.245161879,0.272683502,0.3501466,0.259320069,0.38317698,0.408964755,0.39570628,0.264627865,0.339814213,0.300250766,0.337295688,0.382825941,0.309170061,0.429096565,0.341381483,0.396532813,0.34487455,0.407835889,0.375867357,0.308010221,0.383277129,0.067739989,0.1605097,0.389452587,0.399486023,0.348583961,0.388356343,0.362541318,0.256313752,0.385254534,0.281557675,0.382398776,0.290965087,0.212753765,0.285627147,0.309418497
