Unnamed: 0,DRC_S1,Djibouti1,Egypt_AL1,Egypt_CN1,Egypt_CN2,Egypt_CN3,Egypt_CN4,Egypt_CR1,Egypt_ME1,Egypt_NE1,Egypt_UE1,Egypt_UE2,Eritrea1,Ethiopia1,Ethiopia2,Ethiopia3,Ethiopia4,Ethiopia5,KEN_MTKR1,KEN_MTKR2,KEN_MTKR3,KEN_NR1,KEN_WSTR1,Libya1,Libya2,Libya3,Libya4,SouthSudan1,SouthSudan2,Sudan1,Sudan2,Sudan3,Sudan4,Sudan5,Sudan6,Sudan7,TAN_CR1,TAN_CR2,TAN_CR3,TAN_CR4,TAN_ER1,TAN_LR1,TAN_SR1,TAN_SWR1,TAN_WR1,Uganda1,DRC_W1
2040/01/01 10:00:00,0.71087796,0.931234173,0.73700558,0.809227842,0.747044575,0.975035855,0.73680022,0.822249308,0.678327254,0.690915127,0.538154565,0.474472308,0.571474531,0.400076516,0.46297909,0.244773928,0.149066695,0.483013666,0.505157043,0.800531472,0.946469716,0.046703426,0.48109203,0.338499762,0.027693561,0.627329194,0.363442995,0.161382274,0.87268462,0.76238869,0.961981386,0.993680926,0.965605675,0.908309882,0.645911706,0.98199441,0.16173089,0.151248338,0.355592805,0.030755951,0.284553558,0.144187556,0.737121449,0.390781852,0.885469146,0.020490155,0
2040/01/01 11:00:00,0.671161865,0.926161596,0.741481702,0.882003087,0.848829228,0.964669523,0.732993219,0.8745849,0.744041356,0.809145417,0.75360462,0.628157088,0.50725319,0.43701995,0.403622324,0.130035524,0.155865091,0.436992138,0.468551701,0.671858647,0.912088741,0.357696352,0.543620861,0.248027895,0.014730474,0.571174728,0.275887566,0.107355781,0.800939335,0.69372881,0.971799557,0.991135128,0.971859801,0.968543219,0.553841863,0.980832337,0.179592853,0.161820932,0.514272672,0.109838213,0.198646735,0.153937135,0.68371733,0.533604142,0.859444217,0.382369134,0
2040/01/01 12:00:00,0.632681249,0.892039845,0.789083366,0.975437161,0.895231429,0.939529113,0.807262157,0.976395313,0.835667095,0.977341547,0.898579254,0.731698403,0.428636794,0.473209764,0.287802322,0.044628765,0.171114985,0.374328009,0.340303196,0.364180254,0.788406165,0.526386237,0.510825762,0.212999497,0.017715413,0.547764168,0.345329756,0.106973181,0.798509981,0.57379428,0.954998219,0.993671872,0.975827138,0.970814669,0.416728559,0.976564683,0.278659759,0.189471117,0.474109233,0.208167811,0.105794387,0.222360587,0.207314631,0.600222839,0.87290662,0.438933901,0.00296501
2040/01/01 13:00:00,0.669898929,0.809820544,0.831561223,0.977572869,0.903210084,0.934482225,0.812206509,0.981734397,0.898263036,0.986851472,0.912383567,0.780332077,0.392090349,0.496960126,0.191853962,0.037013058,0.191471169,0.304204466,0.213850248,0.427941913,0.584273321,0.40727937,0.612938424,0.253928418,0.036409543,0.579173692,0.402865271,0.109238779,0.802714735,0.513751252,0.940470758,0.995091118,0.976753755,0.950670097,0.33275671,0.975014532,0.184999844,0.090764589,0.327530684,0.099782311,0.038498716,0.066143404,0.049203125,0.447245656,0.766623621,0.478996373,0.013125262
2040/01/01 14:00:00,0.647976618,0.782652882,0.845688279,0.968515842,0.90865519,0.936526904,0.813237371,0.978272069,0.895031852,0.990830813,0.896513935,0.788779634,0.428334064,0.573390268,0.168370614,0.046866682,0.229614014,0.268238146,0.13736968,0.48148298,0.374551955,0.341502041,0.627492987,0.283884687,0.06863455,0.569834949,0.456328514,0.130425245,0.833456355,0.502172748,0.935666481,0.995577793,0.973439862,0.936418462,0.313986367,0.973291123,0.301284897,0.373980308,0.422251614,0.205956328,0.085446992,0.133523998,0.404806108,0.521527394,0.844613813,0.397158475,0.00523443
2040/01/01 15:00:00,0.753247096,0.797131297,0.844492335,0.966251798,0.912649546,0.943870305,0.793623996,0.970914544,0.88839327,0.99017236,0.875135704,0.790879148,0.486179014,0.629504371,0.195590767,0.056169305,0.285469903,0.254905455,0.09799256,0.514407843,0.232748527,0.2922895,0.611826051,0.26672461,0.103685679,0.541324983,0.489066704,0.14765296,0.865181206,0.557613122,0.94169002,0.995402335,0.971260081,0.931989139,0.362371172,0.974801641,0.318836591,0.341381806,0.382638943,0.271751099,0.026891966,0.209459129,0.224260653,0.595086571,0.853386596,0.366055736,0.077175647
2040/01/01 16:00:00,0.73958229,0.870131143,0.838102982,0.955190445,0.915850439,0.946812181,0.784652104,0.958520317,0.887044439,0.984493249,0.867182874,0.791472084,0.603888705,0.653832894,0.278318777,0.062353746,0.406623976,0.260103446,0.077424369,0.534201613,0.151303914,0.305290107,0.674495441,0.261980965,0.124044589,0.52195433,0.519495992,0.15138452,0.909269973,0.703876043,0.942072259,0.99470801,0.968846228,0.929635991,0.490228773,0.979305205,0.303129261,0.294314297,0.442004469,0.225896993,0.246647836,0.369136106,0.356720881,0.617741794,0.841612996,0.326215248,0.058314206
2040/01/01 17:00:00,0.636705536,0.935031593,0.789754904,0.907736536,0.871131212,0.935841307,0.740932206,0.922146135,0.811423067,0.955003173,0.781090265,0.745967803,0.742849711,0.676392392,0.411520407,0.061310405,0.680940059,0.245936177,0.075716354,0.575559802,0.15419965,0.599358735,0.699447528,0.295453269,0.145354836,0.519408349,0.522016493,0.18457997,0.92285975,0.852517873,0.935105589,0.991209271,0.966392092,0.923361677,0.679357875,0.983379331,0.303454279,0.101446586,0.421355157,0.187980186,0.616801541,0.389569126,0.738268466,0.684997529,0.80653065,0.371379645,0.094553534
2040/01/01 18:00:00,0.474802987,0.97168703,0.760564983,0.866070011,0.815636162,0.905295104,0.641430163,0.887324574,0.770230414,0.938023832,0.671022353,0.702308748,0.838889166,0.762881377,0.645376504,0.054450662,0.911939046,0.254655063,0.093268929,0.580638657,0.207649744,0.763933423,0.661188133,0.379890745,0.16557072,0.559351176,0.506138284,0.226222813,0.930112655,0.916552372,0.922614575,0.983558384,0.963649197,0.898359886,0.800251281,0.985542157,0.290833886,0.041552885,0.375487119,0.176930779,0.269523844,0.315790609,0.64878125,0.69358479,0.626819779,0.43155396,0.373029391
2040/01/01 19:00:00,0.306072711,0.937759576,0.767202443,0.868146519,0.769383276,0.884695094,0.564978132,0.829238109,0.750479579,0.927891979,0.555501437,0.686314471,0.818074349,0.731413121,0.775056562,0.10532837,0.909641874,0.280276301,0.199212854,0.5662031,0.286122642,0.718874087,0.601183023,0.459783252,0.208273892,0.575629425,0.521754469,0.190032972,0.977590633,0.928823367,0.923098914,0.986434321,0.96959324,0.901686221,0.798483195,0.988956273,0.239832897,0.0649517,0.28339142,0.181550954,0.223949193,0.158111356,0.680130682,0.56136789,0.366191868,0.354748927,0.782272218
