techs,names
PV_DRC_S_MSR8,PV Power Plant DRC_S 8
PV_DRC_S_MSR9,PV Power Plant DRC_S 9
Solar_PV1,SOLAR_PV
Solar_PV10,SOLAR_PV
Solar_PV11,SOLAR_PV
Solar_PV12,SOLAR_PV
Solar_PV13,SOLAR_PV
Solar_PV14,SOLAR_PV
Solar_PV15,SOLAR_PV
Solar_PV16,SOLAR_PV
Solar_PV17,SOLAR_PV
Solar_PV18,SOLAR_PV
Solar_PV19,SOLAR_PV
Solar_PV2,SOLAR_PV
Solar_PV20,SOLAR_PV
Solar_PV3,SOLAR_PV
Solar_PV4,SOLAR_PV
Solar_PV5,SOLAR_PV
Solar_PV6,SOLAR_PV
Solar_PV7,SOLAR_PV
Solar_PV8,SOLAR_PV
Solar_PV9,SOLAR_PV
Steam_turbine_NG_EGYPT,Open_Cycle_Gas_Turbine_ng_fuelled
Steam_turbine_NG_LYBIA,Open_Cycle_Gas_Turbine_ng_fuelled
Steam_turbine_NG_SUDAN,Open_Cycle_Gas_Turbine_ng_fuelled
Steam_turbine_petroleum_coke_SUDAN,Open_Cycle_Gas_Turbine_ng_fuelled
Wind_Turbine1,wind_turbine
Wind_Turbine2,wind_turbine
Wind_Turbine3,wind_turbine
Wind_Turbine4,wind_turbine
Wind_Turbine5,wind_turbine
Wind_Turbine6,wind_turbine
Wind_Turbine7,wind_turbine
final_demand,final_demand
