costs,locs,techs,cost_investment_rhs
co2,DRC_S,PV_DRC_S_MSR36,0.0
co2,DRC_S,PV_DRC_S_MSR37,0.0
co2,DRC_S,PV_DRC_S_MSR38,0.0
co2,DRC_S,PV_DRC_S_MSR39,0.0
co2,DRC_S,PV_DRC_S_MSR4,0.0
co2,DRC_S,PV_DRC_S_MSR40,0.0
co2,DRC_S,PV_DRC_S_MSR41,0.0
co2,DRC_S,PV_DRC_S_MSR42,0.0
co2,DRC_S,PV_DRC_S_MSR43,0.0
co2,DRC_S,PV_DRC_S_MSR44,0.0
co2,DRC_S,PV_DRC_S_MSR45,0.0
co2,DRC_S,PV_DRC_S_MSR46,0.0
co2,DRC_S,PV_DRC_S_MSR47,0.0
co2,DRC_S,PV_DRC_S_MSR48,0.0
co2,DRC_S,PV_DRC_S_MSR49,0.0
co2,DRC_S,PV_DRC_S_MSR5,0.0
co2,DRC_S,PV_DRC_S_MSR50,0.0
co2,DRC_S,PV_DRC_S_MSR6,0.0
co2,DRC_S,PV_DRC_S_MSR7,0.0
co2,DRC_S,PV_DRC_S_MSR8,0.0
co2,DRC_S,PV_DRC_S_MSR9,0.0
co2,DRC_S,Solar_PV1,0.0
co2,DRC_S,Solar_PV2,0.0
monetary,DRC_S,Diesel_Engine_DRC,2141852.0547945206
monetary,DRC_S,Hydro_Power_Plant_large1,2534123.8356164386
monetary,DRC_S,Hydro_Power_Plant_large2,4091178.0821917816
monetary,DRC_S,Hydro_Power_Plant_large3,6618082.191780823
monetary,DRC_S,Hydro_Power_Plant_large4,14920767.123287674
monetary,DRC_S,Hydro_Power_Plant_large5,14619945.205479454
monetary,DRC_S,Hydro_Power_Plant_large6,2406575.3424657537
monetary,DRC_S,Hydro_Power_Plant_small1,645263.0136986303
monetary,DRC_S,Hydro_Power_Plant_small2,26071.232876712333
monetary,DRC_S,PV_DRC_S_MSR1,0.0
monetary,DRC_S,PV_DRC_S_MSR10,0.0
monetary,DRC_S,PV_DRC_S_MSR11,0.0
monetary,DRC_S,PV_DRC_S_MSR12,0.0
monetary,DRC_S,PV_DRC_S_MSR13,0.0
monetary,DRC_S,PV_DRC_S_MSR14,0.0
monetary,DRC_S,PV_DRC_S_MSR15,0.0
monetary,DRC_S,PV_DRC_S_MSR16,92007127.2934343
monetary,DRC_S,PV_DRC_S_MSR17,0.0
monetary,DRC_S,PV_DRC_S_MSR18,0.0
monetary,DRC_S,PV_DRC_S_MSR19,0.0
monetary,DRC_S,PV_DRC_S_MSR2,0.0
monetary,DRC_S,PV_DRC_S_MSR20,0.0
