BEN1,BFA1,BFA2,GMB1,GHA1,GHA2,GIN1,CIV1,MLI1,MLI2,MLI3,MLI4,MLI5,NER1,NER2,NER3,NER4,NER5,NER6,NER7,NGA_E1,NGA_E2,NGA_E3,NGA_E4,NGA_E5,NGA_CNW1,NGA_CNW2,NGA_CNW3,SEN1,SEN2,TGO1
0.8858740458041917,0.9425434266583907,0.8935507679187829,0.7690417690429214,0.3352410540878764,0.1537404121325517,0.5847095238097361,0.641,0.8915685793143158,0.996465280556092,0.9394108178125584,0.9919188474780464,0.997774529526352,0.6794092415891496,0.9842144956999384,0.9595264042116588,0.5810731641032585,0.9849946345676768,0.9866816443656826,0.8528434741019743,0.9935640712841088,0.9595767164811876,0.9009290804923408,0.9188739747917816,0.9570882348346614,0.882076586068661,0.9207364661959097,0.9137133472597172,0.9502873377725378,0.890849888396992,0.8593522079264437
0.8690794888846334,0.9221543029546982,0.8913331230067295,0.8121441441447779,0.3102612482635912,0.1872621637058723,0.4680285714287378,0.506,0.9193130720374816,0.998773798150426,0.9623346025506196,0.9924323094687102,0.9952041297311924,0.9990319654689532,0.9997955964713828,0.9999154683576514,0.9990423803115696,0.999797651232952,0.9910045781358102,1.0,0.9822772180118208,0.9452155095123084,0.9737142979695044,0.8895582855373652,0.9793467458714172,0.9815281021637452,0.981226929632427,0.9865555753100824,0.9569822448863724,0.9187619704416918,0.8470740740193177
0.8681065383372479,0.9067306600628752,0.9162076041880248,0.891972153974706,0.2530742857119522,0.1960074413246048,0.4353380952381603,0.388,0.9548393759066788,0.9995223785763416,0.984325286715242,0.9905550428153254,0.9930385270420168,0.9988062552924164,0.9998977817273492,0.9999161603428612,0.9992428142600476,0.9997112228056588,0.9876950041644648,1.0,0.9831451727693452,0.9512138141621246,0.9655679406910934,0.882421419996829,0.9797477015818918,0.9831082626225096,0.9812717311907342,0.988991488206971,0.9539878608353978,0.9281549539124349,0.8441898147589733
0.8764054098935687,0.9317294803994174,0.949102993947345,0.9325045045067684,0.2420661303736189,0.2072046365169519,0.6926571428571622,0.45,0.9757737673471634,0.9999709629019016,0.991847237227208,0.9875196688451408,0.9940864381667578,0.9986697691550216,0.9998923706672316,0.9999080930662906,0.9995960719763992,0.9992848610451656,0.9824586618705268,1.0,0.9898590518365604,0.9613718185078484,0.963439806524396,0.8921437508305851,0.981840570169758,0.9826294613365276,0.9804952317183018,0.9895265796352222,0.9527757281186816,0.9277670871240044,0.8471837606289386
0.8829794225053855,0.9623007828825906,0.9596834885530808,0.9437338247355082,0.2617438557561716,0.1527229536335681,0.9237333333333484,0.404,0.9760671451777716,0.9999041767779312,0.993006130253506,0.9889494792312796,0.9918178636999035,0.9984537097997436,0.9998990687901824,0.999788431406038,0.999649711128101,0.9988354513589832,0.979635958725116,1.0,0.9952338706337784,0.977989441123159,0.97135400710555,0.905438009916538,0.9869040559084552,0.985452813671879,0.9842298108920235,0.9927543032919076,0.9639731886838114,0.9263268151241104,0.8474597577798568
0.8912258546327775,0.9826510935514934,0.970484494667814,0.943131040132028,0.2451443550637715,0.130863766456309,0.9363142857143242,0.294,0.976297574658324,0.9997346715808656,0.9951140447542934,0.990766826892516,0.9872571209590444,0.9986459066373314,0.9998596257734972,0.999840122583584,0.9998931954946048,0.9970751424833252,0.9748080879304316,1.0,0.9916567584256744,0.9727171061776572,0.9787926224920244,0.8833584628389689,0.9884263351605465,0.9869399135895228,0.9871250101453168,0.9944363075864602,0.9670324973440972,0.927209657923244,0.8482984329934833
0.9038093262557636,0.9868504017561742,0.9697149286973726,0.9468280098285244,0.2178642441071688,0.1129562106473269,0.931276190476231,0.134,0.96812256652927,0.9994660159660383,0.9931259413196764,0.987879033546678,0.9836058426666584,0.9978010346306894,0.9998219229357184,0.9998244664181888,0.9998501450765788,0.9957878536155698,0.9618887378223072,1.0,0.9831125619860271,0.954724775303644,0.9813912432540184,0.8197649158958991,0.9867840171555402,0.9893892652519806,0.990423200227206,0.9955821921951676,0.970892792364468,0.9398154657286172,0.8459305554996853
0.9050491204808172,0.9910661610275296,0.9772284650461516,0.9620032760033912,0.1912201941756302,0.0448863766466374,0.890552380952462,0.042,0.9705830123493516,0.9998949743865302,0.9889599204894228,0.9837479844392728,0.9798768914406962,0.9977813361849424,0.9998579831205336,0.999875413661216,0.9998070946585528,0.9943028842376768,0.9475556234869283,1.0,0.9727158426439886,0.9295631355358112,0.97737667513663,0.7497341698769908,0.97923758635206,0.9894805778607134,0.9900843884424656,0.9951073123409993,0.968025357849022,0.9552067065612914,0.8435815526497613
0.9038561234680544,0.9760575748773204,0.9201886690885396,0.9691695331697018,0.1354327323138408,0.0067696050373958,0.8715761904762982,0.003,0.9636460911593135,0.9993587600318876,0.9752116828475595,0.9720314866338452,0.9710965957323172,0.9968916821001712,0.9998962414794604,0.9998526505252668,0.9997873950932776,0.9929916719005136,0.9187663292048394,1.0,0.950573723489376,0.8730477441813326,0.9368746492923212,0.5636942397765073,0.9349592114707662,0.9875739086505216,0.9876763452641568,0.9935867233099056,0.9629307416374904,0.9629416994796662,0.8282150996590708
0.8525793229370826,0.8782303681102309,0.932235517487888,0.9523529893531826,0.1409392510350039,0.0004364625071812,0.7633476190477395,0.0,0.9072890395863892,0.9936956393875938,0.9137190169782824,0.9174637763480552,0.8479141700416064,0.9960227657077488,0.9990708747279756,0.9998145831007555,0.9994390840020896,0.9895312671565014,0.8523713638370385,0.9999160737422724,0.9623229657345196,0.8622815706448158,0.9600935985807068,0.6952378695333938,0.9496251772056478,0.964001258642196,0.9722394691990984,0.9869113370568572,0.9202777246425762,0.961180300030083,0.8418981480913619
