DRC_S1,DRC_S2,DRC_S3,DRC_S4,DRC_S5,Burundi1,DRC_E1,DRC_E2,DRC_E3,DRC_E4,DRC_S6,DRC_S7,DRC_S8,DRC_S9,DRC_S10,DRC_W1,DRC_W2,DRC_W3,DRC_W4,DRC_W5,DRC_W6,DRC_W7,DRC_W8,Djibouti1,Egypt_CN1,Egypt_CN2,Egypt_UE1,Eritrea1,Ethiopia1,Ethiopia2,Ethiopia3,Ethiopia4,Ethiopia5,Ethiopia6,KEN_MTKR1,KEN_WSTR1,KEN_WSTR2,KEN_WSTR3,Libya1,Libya2,Rwanda1,SouthSudan1,Sudan1,Sudan2,Sudan3,TAN_CR1,TAN_CR2,TAN_LR1,TAN_NR1,TAN_SWR1,Uganda1,Uganda2,Uganda3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0026109457983446,0.0,0.003212296374609,0.0,0.0099248477930343,0.0,0.0,0.0,0.0,0.0,0.0045527658165383,0.0096946078431931,2.7678884820861333e-05,0.0,0.0008463709677282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0195587027759229,0.0044057008326241,0.0300407251729978,0.0048010869804149,0.0929912480973061,0.0043476318138745,0.0213533583647017,0.0002584032860001,0.0262162162160097,0.0298259951019122,0.026642663133525,0.0853433823532232,0.0049198214912805,0.0094071301245946,0.0230322580644733,0.0001283855906563,0.0,0.000330325102744,0.0003686905340996,0.0,0.0001439951090639,4.206861020667277e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.299782700308658e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0909059851596473,0.0478011686269547,0.0687063846585183,0.0544082997775172,0.2461839802131146,0.053063449508836,0.1850275344180857,0.059773784903226,0.1206223146227068,0.2042546966352985,0.1140134481619977,0.2338399509811204,0.051834728977893,0.0566149732619106,0.0799629032257697,0.0522319124963164,0.0350836918783912,0.0380433215753651,0.071410083533561,0.0649022044216508,0.0130597162534519,0.0790410382133439,0.0636564598649518,0.0228118839764054,0.0062763418012144,0.0033056468554981,0.0,0.0227318203086159,0.0158485486411655,0.0070751187048211,0.0314846686348393,0.0080155010082215,0.0210562454105656,0.0185476537458426,0.0200207514051034,0.0134391993282548,0.0148788433380767,0.022129498846996,0.0,0.0,0.0488858477049661,0.0080448807690654,0.0005532692097728,0.0023436755650342,0.0116252058283413,0.00446033266883,0.0179848672556265,0.0082396686871869,0.025449796815093,0.0234787440473282,0.0240034312349965,0.0034336824536362,0.0198964401547942
0.1220185129391963,0.1410011620350565,0.1380691014185244,0.1148882434482379,0.2555780060866762,0.1569177837370961,0.4102123487693767,0.1636828567943013,0.2061826056846889,0.4237356966594722,0.1113249751575314,0.2024654411772457,0.1600968259552773,0.1174313725488006,0.0769197580644356,0.237491098301878,0.1632395634333617,0.107333592927127,0.1964638251257581,0.1675037749462003,0.1756903242050072,0.2504436923729191,0.2191974490514049,0.1742475359056217,0.1023412988200935,0.1325209006547466,0.0937660531457022,0.1190747199627954,0.1456260797561009,0.0939961107905782,0.1970700680583663,0.116076060117347,0.1603212349734313,0.1341967692287767,0.1724794945241846,0.1482947921183759,0.0971362202947493,0.1627516860838139,0.0,0.008922624973036,0.2312798557499478,0.1846809270191124,0.1295313866236053,0.1683768016411437,0.1695426011779558,0.1026774866162412,0.1602336072362332,0.1010813100671963,0.1710342864342275,0.1275257213415546,0.0869061407115511,0.0718508426653217,0.1078388693440641
0.1676199103547784,0.2429178692215066,0.176069364157614,0.145145048077371,0.3060194063906735,0.2058194816815975,0.5821414267836403,0.2757789073279869,0.3612259182294352,0.6011132105514744,0.1452147731040987,0.2362958333343812,0.2114680338964207,0.2012973262040781,0.1101100806450398,0.3818639070804952,0.2618277073606695,0.2451618794580029,0.2726835015877516,0.3501466000338089,0.2593200690493769,0.3831769795148989,0.4089647552998168,0.3957062799213514,0.2646278649406045,0.3398142127937144,0.300250765774691,0.3372956883176265,0.3828259411577997,0.3091700609373161,0.4290965648393752,0.3413814834092714,0.3965328132607649,0.3448745500494302,0.4078358893632502,0.3758673566602782,0.3080102207452281,0.38327712889134,0.0677399885215289,0.1605097003692329,0.3894525868048032,0.3994860232636306,0.3485839612259047,0.3883563427799213,0.3625413175337528,0.2563137516548934,0.3852545335559916,0.2815576748052319,0.3823987763780109,0.2909650872478247,0.2127537654338734,0.2856271474548473,0.3094184970322208
