locs,techs,timesteps,required_resource
DRC_S,final_demand,2040-01-05 06:00:00,-1681361.656
DRC_S,final_demand,2040-01-05 07:00:00,-1768735.787
DRC_S,final_demand,2040-01-05 08:00:00,-1865555.77
DRC_S,final_demand,2040-01-05 09:00:00,-1931676.734
DRC_S,final_demand,2040-01-05 10:00:00,-1945845.512
DRC_S,final_demand,2040-01-05 11:00:00,-1950568.438
DRC_S,final_demand,2040-01-05 12:00:00,-1955291.364
DRC_S,final_demand,2040-01-05 13:00:00,-1983628.92
DRC_S,final_demand,2040-01-05 14:00:00,-2019050.865
DRC_S,final_demand,2040-01-05 15:00:00,-2042665.495
DRC_S,final_demand,2040-01-05 16:00:00,-2007243.55
DRC_S,final_demand,2040-01-05 17:00:00,-2002520.624
DRC_S,final_demand,2040-01-05 18:00:00,-2189076.201
DRC_S,final_demand,2040-01-05 19:00:00,-2189076.201
DRC_S,final_demand,2040-01-05 20:00:00,-2146569.867
DRC_S,final_demand,2040-01-05 21:00:00,-2071003.051
DRC_S,final_demand,2040-01-05 22:00:00,-1967098.679
DRC_S,final_demand,2040-01-05 23:00:00,-1889170.4
DRC_S,final_demand,2040-01-06 00:00:00,-1756928.472
DRC_S,final_demand,2040-01-06 01:00:00,-1721506.527
DRC_S,final_demand,2040-01-06 02:00:00,-1688446.045
DRC_S,final_demand,2040-01-06 03:00:00,-1671915.804
DRC_S,final_demand,2040-01-06 04:00:00,-1719145.064
DRC_S,final_demand,2040-01-06 05:00:00,-1771097.25
DRC_S,final_demand,2040-01-06 06:00:00,-1704976.286
DRC_S,final_demand,2040-01-06 07:00:00,-1775820.176
DRC_S,final_demand,2040-01-06 08:00:00,-1844302.603
DRC_S,final_demand,2040-01-06 09:00:00,-1893893.326
DRC_S,final_demand,2040-01-06 10:00:00,-1900977.715
DRC_S,final_demand,2040-01-06 11:00:00,-1931676.734
DRC_S,final_demand,2040-01-06 12:00:00,-1924592.345
DRC_S,final_demand,2040-01-06 13:00:00,-1974183.068
DRC_S,final_demand,2040-01-06 14:00:00,-2014327.939
DRC_S,final_demand,2040-01-06 15:00:00,-2045026.958
DRC_S,final_demand,2040-01-06 16:00:00,-2000159.161
DRC_S,final_demand,2040-01-06 17:00:00,-1988351.846
DRC_S,final_demand,2040-01-06 18:00:00,-2167823.034
DRC_S,final_demand,2040-01-06 19:00:00,-2172545.96
DRC_S,final_demand,2040-01-06 20:00:00,-2137124.015
DRC_S,final_demand,2040-01-06 21:00:00,-2066280.125
DRC_S,final_demand,2040-01-06 22:00:00,-1964737.216
DRC_S,final_demand,2040-01-06 23:00:00,-1884447.474
DRC_S,final_demand,2040-01-07 00:00:00,-1754567.009
DRC_S,final_demand,2040-01-07 01:00:00,-1714422.138
DRC_S,final_demand,2040-01-07 02:00:00,-1679000.193
DRC_S,final_demand,2040-01-07 03:00:00,-1662469.952
DRC_S,final_demand,2040-01-07 04:00:00,-1707337.749
DRC_S,final_demand,2040-01-07 05:00:00,-1759289.935
DRC_S,final_demand,2040-01-07 06:00:00,-1690807.508
DRC_S,final_demand,2040-01-07 07:00:00,-1766374.324
DRC_S,final_demand,2040-01-07 08:00:00,-1846664.066
