Zone_ID,Country,Cluster,Silhouette_s(i)
277,Libya,2,0.18621097942396886
277,Libya,2,0.19494384623007205
277,Libya,2,0.12992696009063262
277,Libya,2,0.09074721394539524
277,Libya,2,0.11098946377141053
277,Libya,2,0.0036695198660412326
714,Libya,2,0.07614945370490803
714,Libya,2,0.19155709308765037
248,Libya,2,0.19476832949636586
248,Libya,2,0.1925883944011336
248,Libya,2,0.09271220505469902
248,Libya,2,0.10487168058504757
248,Libya,2,0.05572119131743614
158,Libya,2,0.1825976230259384
158,Libya,2,0.05374953474752072
247,Libya,2,0.2017795193806247
247,Libya,2,0.19217139834874453
247,Libya,2,0.09419989714747111
247,Libya,2,0.10465531392777068
247,Libya,2,-0.01489348145727559
247,Libya,2,0.011668194404432015
246,Libya,2,0.1986637604334396
246,Libya,2,0.09307577618656887
246,Libya,2,0.1005518479692762
246,Libya,2,0.141849343579363
246,Libya,2,0.09328068154232763
2012,Libya,2,0.07971593963465325
632,Libya,1,-0.15243784315444428
632,Libya,1,-0.07694305878314256
632,Libya,1,0.29084865806244153
245,Libya,2,0.2030432843733899
245,Libya,2,0.09261752176341118
245,Libya,2,0.09531595138791693
245,Libya,2,0.05961454998393752
179,Libya,2,0.19641975952574645
179,Libya,2,0.0773371077616082
179,Libya,2,0.0803684382227999
249,Libya,2,0.20999311197677137
249,Libya,2,0.10453544099798251
249,Libya,2,0.08108366023848133
1224,Libya,1,0.29670562996936173
278,Libya,2,0.20889302053466344
278,Libya,2,0.1388347262323958
278,Libya,2,0.09040818376200668
278,Libya,2,0.11040555751932181
621,Libya,1,-0.14835768849608957
621,Libya,1,0.28372513842487496
1750,Libya,2,0.15714356438341082
1750,Libya,2,0.025045989227353894
223,Libya,2,0.2017909044622094
223,Libya,2,0.10662480724993345
223,Libya,2,0.09675458894702742
223,Libya,2,0.15191855247067776
223,Libya,2,0.013581476603232882
222,Libya,2,0.2003279453129526
222,Libya,2,0.10662958458281678
222,Libya,2,0.0977383734949127
222,Libya,2,0.15105035751631798
222,Libya,2,0.02145400004683063
631,Libya,1,-0.16633595367697807
631,Libya,1,-0.0787186029914738
631,Libya,1,0.28456695883914224
1223,Libya,1,0.2976089961706762
276,Libya,2,0.19978438366875248
276,Libya,2,0.13054819715837243
276,Libya,2,0.09098434486618308
276,Libya,2,0.11176781792858985
276,Libya,2,0.055041029892261416
1225,Libya,1,-0.1429409587621028
1225,Libya,1,0.29374223341355427
244,Libya,2,0.19097323927533583
244,Libya,2,0.09247636654777458
244,Libya,2,0.09901736322590088
244,Libya,2,0.1432019641409743
244,Libya,2,0.06920125224261396
1805,Libya,2,0.049554313444751974
1249,Libya,1,-0.10161104160744144
1249,Libya,1,0.28988062734678505
2095,Libya,2,0.10705978905191511
2095,Libya,2,0.0596345152400487
622,Libya,1,-0.14809035416886057
622,Libya,1,0.2843934630706394
609,Libya,1,-0.16715864893154087
609,Libya,1,0.2661274589609138
979,Libya,1,0.3081666578718993
221,Libya,2,0.20176622917517967
221,Libya,2,0.1175100790423875
221,Libya,2,0.09707204628537423
221,Libya,2,0.15189066439376855
221,Libya,2,0.021542165885090826
1721,Libya,2,0.15243955572615486
1721,Libya,2,0.00331732338479508
1139,Libya,1,0.31888815976536844
1804,Libya,2,0.05269638504051461
2051,Libya,1,-0.13046339346078972
2051,Libya,1,0.31734614318744164
1777,Libya,2,0.1452759488994089
1777,Libya,2,0.03764118709712815
1192,Libya,1,0.30538934939444484
306,Libya,2,0.20408071302284814
306,Libya,2,0.1279238360626271
306,Libya,2,-0.00295267196194052
306,Libya,2,0.11644769861641444
306,Libya,2,0.08593766278352606
797,Libya,1,-0.14910468599408888
797,Libya,1,0.31515535950666124
797,Libya,1,-0.033331581146766896
798,Libya,1,-0.1502786942500821
798,Libya,1,0.31513117313152006
798,Libya,1,-0.024686876746510062
1803,Libya,2,0.044059609178189615
1247,Libya,1,0.287213288722385
1751,Libya,2,0.03060731069208844
2054,Libya,1,-0.13432613574890864
2054,Libya,1,-0.14014261869853809
2054,Libya,1,0.31183731809859616
279,Libya,2,0.20513920612826972
279,Libya,2,0.13884608434589568
279,Libya,2,0.07802773521056919
279,Libya,2,0.10838372266395718
279,Libya,2,0.055354024452055534
619,Libya,1,-0.1566888222660308
619,Libya,1,0.26822482803571585
2081,Libya,1,-0.15169307858499473
2081,Libya,1,0.3177726682727473
726,Libya,1,-0.159007781041915
726,Libya,1,0.3146672969459353
1330,Libya,1,0.23651457040670323
217,Libya,2,0.19789020548764677
217,Libya,2,0.12308396308570546
217,Libya,2,0.08209166218561938
217,Libya,2,0.15178093344009252
217,Libya,2,0.020942520157187883
1775,Libya,2,0.021228185403745135
310,Libya,2,0.2039675620642766
310,Libya,2,0.1290777039727196
310,Libya,2,0.1114579894334888
310,Libya,2,0.019792399498236475
1245,Libya,1,-0.10549300435769393
1245,Libya,1,0.28626280764498707
1188,Libya,1,0.2983717127310703
253,Libya,2,0.194477405077201
253,Libya,2,0.09522646860272556
253,Libya,2,0.201709245360724
253,Libya,2,0.03348855580034392
253,Libya,2,0.08686845413180055
1219,Libya,1,0.29993128897390775
