DRC_S1,Djibouti1,Egypt_AL1,Egypt_CN1,Egypt_CN2,Egypt_CN3,Egypt_CN4,Egypt_CR1,Egypt_ME1,Egypt_NE1,Egypt_UE1,Egypt_UE2,Eritrea1,Ethiopia1,Ethiopia2,Ethiopia3,Ethiopia4,Ethiopia5,KEN_MTKR1,KEN_MTKR2,KEN_MTKR3,KEN_NR1,KEN_WSTR1,Libya1,Libya2,Libya3,Libya4,SouthSudan1,SouthSudan2,Sudan1,Sudan2,Sudan3,Sudan4,Sudan5,Sudan6,Sudan7,TAN_CR1,TAN_CR2,TAN_CR3,TAN_CR4,TAN_ER1,TAN_LR1,TAN_SR1,TAN_SWR1,TAN_WR1,Uganda1,DRC_W1
0.0317246945238518,0.8123579258590768,0.1368176157337919,0.0864841068955978,0.0834802184248872,0.1470241360081936,0.0313905691649524,0.138417530970572,0.0134246082714259,0.0853987306340523,0.0234123072632575,0.0432291012623958,0.7188576375998125,0.511074302962587,0.7568287459649881,0.817699123142723,0.9156644153650152,0.3639716274302925,0.5798536824338382,0.9395468961615902,0.9604355049153857,0.9567655036733076,0.9561178843148233,0.6793572141716825,0.1739030701602411,0.8391121187062487,0.2697744078338316,0.3382765610735243,0.9327682286546344,0.9226011152725816,0.0991516401914506,0.6235764458107969,0.651324357451203,0.4680284121972054,0.7280384591663501,0.9355159117762912,0.6240112601987223,0.5652735932427381,0.7007904153513345,0.7759678401796329,0.1563398752671461,0.4880649794076533,0.4060646306855821,0.5868694391797209,0.4123694319563064,0.7420977794223372,0.9320125962204402
0.5833605370430123,0.8290756558740233,0.1925538731126809,0.0871003146292756,0.0747225145068586,0.1557814047375329,0.037074968680955,0.1524892791529479,0.0138289237091375,0.0518308132672165,0.0254672581972151,0.0810994808198688,0.6873463699676239,0.5221869028097529,0.6636743447637531,0.8199318522590592,0.9023988180669672,0.3009477176317365,0.6157473531853067,0.9395083362434016,0.9681714109828896,0.9257386927312784,0.9369032917994856,0.6421027426732197,0.194998387363378,0.8841409321609636,0.2851358722198575,0.3648939554712831,0.9195245181445608,0.908907354821892,0.1401335396782264,0.6336269227549641,0.6365202066563748,0.5834743143013875,0.6853863303359199,0.9299736831188452,0.5810054028042841,0.4060346987298121,0.6460994317908322,0.683589184948424,0.1500950109993383,0.3962428304730768,0.3707301136390008,0.4999610344504815,0.3296826726590368,0.7455763878615943,0.4307053883843703
0.5667971036422501,0.8310485589407216,0.8788742705477589,0.8806278505900752,0.7059139398143285,0.9652438612516172,0.767221468413897,0.9714050125452062,0.8409791934254166,0.9666624354431834,0.8012019806283034,0.5541278487348338,0.6456363346649971,0.5822994778183415,0.5946387943081304,0.6749945578429944,0.9109165048542792,0.2867980113021816,0.544905785709504,0.8830049584327684,0.9474575707966958,0.782443877017012,0.873448945900748,0.2072453461618184,0.1217031889796927,0.5365708884724627,0.4012378842319113,0.0283250741882163,0.999974773691138,0.8746276006083187,0.9977837764102048,0.9995789911908076,0.8630744778707334,0.957565560572476,0.8750238196894093,0.9802306213393236,0.5490868363005296,0.2935029521609664,0.6303923726982693,0.5988426690637094,0.1228840792334846,0.3426431465931056,0.3800553977282862,0.506468542852699,0.27801328156981,0.6594271650640222,0.2558936319119717
0.5644632674668479,0.639161103591839,0.8444527281074201,0.8185794339899655,0.7225942997565686,0.9714421294527462,0.756324334210361,0.9756422419376292,0.8600665296695664,0.9754360649622704,0.8579033268895376,0.5666095213396026,0.4679008260885386,0.7018492022094678,0.5787223042353117,0.2725504067311965,0.2015430983579563,0.3982116511427232,0.2324779250322445,0.646348531636002,0.6879373699908415,0.3362316498861633,0.5241582060732767,0.23856569689065,0.0995636277748743,0.5772780077819127,0.3900797636533133,0.0587879552197626,0.9997664585741706,0.8716410705393329,0.9972620204122746,0.9995052258343632,0.8590174701210561,0.9608766721859598,0.8455680736860192,0.9816215175374956,0.0691258885773838,0.0436956395964484,0.0660906850807506,0.1205056300086948,0.0001467351430788,0.0,0.0739517045462588,0.1856148145257123,0.7630576215781784,0.0108323464092071,0.1352421273614663
0.6184777492913126,0.7676582399377065,0.8634803579621417,0.812598485212464,0.7216381293231193,0.9743064675858056,0.7590635294820478,0.9703611980454706,0.8689884407924506,0.9690945180763476,0.8709109328686233,0.6775437737185214,0.5135689690370322,0.6936712609036221,0.6999078843767539,0.280685059459405,0.174985225834264,0.4537692604312712,0.2676892138818225,0.6257959293435802,0.7533830152960591,0.3846173842059292,0.4950795693842995,0.2774648018926068,0.0789789666410063,0.6133872762244569,0.3763725854576865,0.1248032160422825,0.999359685841742,0.8641379111049938,0.9964977287457129,0.9992895786885048,0.8707883445016046,0.9585871408330002,0.8031667988310864,0.9813266675763346,0.0802066032379556,0.030804340865122,0.1455262841082057,0.0811302105632188,0.0002934702861576,0.0007399587617568,0.0576612215913801,0.1990044387674264,0.8486557008587474,0.1194749814931503,0.1674940517838778
0.6726089908060788,0.833764287479098,0.9186699559341396,0.800118691653444,0.705371603163686,0.9661497295646868,0.7752000963209801,0.963323720353479,0.8577528898040916,0.941321697466011,0.8361603276533944,0.7760434698622729,0.5843309758444911,0.6710039785861893,0.7350853260840646,0.2572239043224339,0.1407653018138878,0.4454153216264309,0.2847657148935673,0.6278770486968029,0.8044079075361822,0.4323968270578331,0.4717391865420949,0.2946220129733237,0.0726062344972469,0.6269166879054848,0.3682985980730596,0.3089202052701139,0.9955916258508212,0.85196485965517,0.994602641781809,0.9988128084393374,0.8554027759566496,0.9517080185581508,0.7585407466201056,0.9808041335600752,0.0884722642981303,0.033915769780182,0.1778215600181209,0.0867397206351442,0.0061902054296288,0.0065074118156576,0.0867698863623371,0.219592079123445,0.8437550061305406,0.1665706883782298,0.2122344296710543
0.6923554080650717,0.8406177792881387,0.9473824965542152,0.7630707757771611,0.692428906160194,0.9589616439393076,0.7788794778354838,0.9428206812721246,0.8142784485002367,0.8850929624734923,0.7620001052393779,0.7950376634318725,0.6149901962521803,0.6581875154905855,0.7113692011589156,0.2228241763672298,0.1196798649200174,0.4212678763533231,0.3140207054625554,0.6830919811986129,0.8380386494660718,0.4634472257687148,0.542411154243736,0.3022230728763668,0.0629102073449516,0.6387489596114603,0.3748465285369825,0.4546388322496894,0.984475339823613,0.8236406767249761,0.9916152941341084,0.9979779386278026,0.8428044135067122,0.945089343420115,0.7440111016308272,0.9795173121764136,0.099891263170158,0.0507298886967619,0.1997417909804857,0.0696210630710208,0.0584033382267219,0.0209451870342709,0.4154914772676591,0.2606906404146927,0.8245561912552833,0.1517916358252174,0.2201903428972763
0.661543370050387,0.7729014964964473,0.9473124861763303,0.7060215706322032,0.6748335508621057,0.9552184936887436,0.7669261229087821,0.9173619222513796,0.7663647572597541,0.832543338923713,0.6940002680434598,0.7592129596628031,0.6117315514235492,0.6383410259505841,0.664886282449115,0.1993209273094877,0.1075038412816848,0.4234552783338656,0.3444326971259854,0.7115196942695151,0.8568938200886033,0.5042898763054262,0.5747592718863205,0.3225786331871905,0.0543110158967048,0.6530607822536857,0.38254656745121,0.3463238296557508,0.927749668108596,0.7804362504000443,0.9868956669131348,0.997076559514924,0.8563819344146091,0.93894333633759,0.7249244235792317,0.9804015416287613,0.1493415281886692,0.1067882449633977,0.2074086421457633,0.0254887065061505,0.1652835656685355,0.065150363272803,0.3009644886306116,0.2782000232403982,0.8592321209649836,0.1198787564769847,0.0582064380682883
0.6885124453246257,0.6045985035189996,0.8970776494208584,0.6609844775226937,0.6366230753210731,0.9529405296962384,0.7432718329646918,0.8759594444297042,0.6953031081464468,0.7486363013972053,0.6158653764384446,0.6567288636984572,0.52417749360444,0.527011921932116,0.5314952283590675,0.1529958132410639,0.1098819755173291,0.3576153534984795,0.2934205462193111,0.7278499656002277,0.8250133119563205,0.3419454990684939,0.5414700309397623,0.3476445409129418,0.0454568722137231,0.6638108333592483,0.4085238073952996,0.1664440275188467,0.9719075874211546,0.7665964942226238,0.9665504595301376,0.9891141621364572,0.8858286702609693,0.9145814535935084,0.7087456386597513,0.9820196649710335,0.12875068551344,0.1488700607778947,0.2083284279971188,0.0105839619282366,0.115267975057956,0.110838331999917,0.4281491477221917,0.2187728446162459,0.8215623212105043,0.0539048112508753,0.0015563331000896
0.6899978880759985,0.7536348996227786,0.756301512496643,0.7395605601919271,0.6398732990782745,0.9652159543938084,0.7486577354828332,0.7896092905354135,0.6581253532034783,0.6198372845262453,0.4703490591949553,0.4519696712313901,0.5353746334694341,0.3871054126031798,0.4058845136470199,0.1875236318984573,0.1047425073850062,0.4466018928728292,0.3321323112146156,0.6602247315004272,0.8629078103028994,0.1004497373311274,0.3447034196655168,0.3800248850444839,0.0388081969407767,0.6691738588472095,0.4270950118923189,0.2286628788184009,0.944368618354292,0.787913007501931,0.929804688569964,0.9939184165829114,0.9397037523551652,0.8403467335985855,0.6925882030143763,0.982483411759504,0.1473303162942853,0.1031232279772212,0.2592760918803337,0.0051208303519545,0.1857336757185893,0.1125364151372336,0.4632230113594344,0.2012968518905622,0.8002029015129197,0.0001900814211537,0.0012974107767184
