SUD1,SUD2,SUD3,SUD4,SUD5,SUD6,SUD7,SUD8,SUD9,SUD10,SUD11,SUD12,SUD13,SUD14,SUD15,SUD16,SUD17,SUD18,SUD19,SUD20,SUD21,SUD22,SUD23,SUD24,SUD25,SUD26,SUD27,SUD28,SUD29,SUD30
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0022127592519801,0.0026023488847581,0.0003047528883861,0.0033494009718984,0.0,0.0007413192943438,0.0427631832911795,0.0001847931137287,0.0241199987101033,0.0050327379826024,0.0005150477424756,0.0077497456903807,0.0,0.0,0.0020121007819198,0.0,0.0104610022397007,0.0003122612787136,0.0079182492399835,0.0051097194945258,0.036,0.0016260871592839,0.0,0.0149762811919318,0.045,0.0204855540675504,0.0001672006995663,0.0037796927229272,0.0
0.1579405160711837,0.1679554998571674,0.1750213886500399,0.1203260122135676,0.1755091368045351,0.1632912092226105,0.1357310374755196,0.2232852584407487,0.156534135959195,0.1889452608305069,0.1807602214209632,0.1697181308347702,0.1852962314235286,0.1433333333333333,0.146,0.1243326282417514,0.1354453522252718,0.1892608790594896,0.1178362680792706,0.156058042856318,0.1777291068094495,0.181,0.1169705377418448,0.1509646831219581,0.1979543439403439,0.24,0.1874451054566918,0.1172269073008164,0.1793372280009066,0.1580721254821354
0.3874628122485314,0.3716997581095992,0.3905367765568899,0.3373280289517873,0.3852695263486869,0.3902793312949714,0.3627906994909142,0.4183786604182019,0.3741772065281239,0.306055433448808,0.3950365225259361,0.3852623326446978,0.3959735436201708,0.3610000000000001,0.3764992484179162,0.3471300369427851,0.3640999847663583,0.4009220044794015,0.3297261355607812,0.2976962659637552,0.3840128733371108,0.267,0.3381640320124663,0.3736008249158237,0.4049415937580697,0.433,0.338439327083712,0.3312539548584713,0.3953679364488233,0.3870721254821354
0.5692277283635225,0.5292442684449239,0.5567202778392678,0.5158724972111132,0.547291948219767,0.5682550660570549,0.5450405629198372,0.5747072599087852,0.5448965436475789,0.4651579821802706,0.5605709278100927,0.5517932565483399,0.557683379626037,0.5346666666666667,0.563,0.5277419283268437,0.533795830300365,0.5639220044794014,0.4982210360155461,0.4732003214319096,0.5414487150149424,0.425,0.519159021527726,0.5496567046782656,0.5629525623838637,0.581,0.5044508838296716,0.5259049361186738,0.5624821385338457,0.568769023237663
0.6914888764521965,0.6409671520048308,0.6643071406224841,0.6350270877272274,0.6493026133058579,0.6874853445906879,0.6643029566897711,0.6607657242239693,0.6562020649852898,0.5895905835927425,0.667348158651224,0.6588186887520299,0.6612068257785821,0.6476666666666668,0.6890015031641674,0.6469695567679169,0.6378275347538298,0.6694610022397007,0.6218852095512866,0.553544495613524,0.6397694189862015,0.527,0.6392817719255414,0.6660222471960395,0.6629635310096577,0.67,0.595410435218813,0.6274719916999923,0.6708535392288532,0.6908133795682367
0.7462537925671877,0.6828124119016382,0.7081863971318368,0.6928639148479099,0.6690279978144494,0.7389685815266114,0.7195297221676199,0.6918420612381148,0.7056324750117117,0.6252031345046274,0.710669748966801,0.7013858327230009,0.7036028870924822,0.7002222222222223,0.7485022547462512,0.7035787400735386,0.696782016957414,0.7117998768197888,0.6868174376220684,0.6263096550557679,0.6714632065169561,0.557,0.6974499728655432,0.7189848680284383,0.7019872498177259,0.702,0.6369133244053029,0.680974813976178,0.7149596444209034,0.7444973830507011
0.7475260805642452,0.6695374147841807,0.6966240344528873,0.6919510750630672,0.6552693860021911,0.7359567035989725,0.7140947073261832,0.6687957878769591,0.6960444520455625,0.5659378876395822,0.6989913392823778,0.6873289470142098,0.6903479004463102,0.6924444444444445,0.7535037579104187,0.7011985442818697,0.6860900764461626,0.7007998768197888,0.686634799344741,0.6119679355959455,0.6609771080339403,0.471,0.6970509804022282,0.7118579765319932,0.6869982184435199,0.681,0.5959306595242422,0.6676579467713725,0.704331045115911,0.7442051944738566
0.6935410048595265,0.5993721239942457,0.6306034978740827,0.6327141361800663,0.6084689830843141,0.6784415259041547,0.6506242704739809,0.5932089561454497,0.6297663430010229,0.4917213042597375,0.6339913392823777,0.6256097732218966,0.6222632428950078,0.6270000000000001,0.7050045094925024,0.6410090906872311,0.6217127830923254,0.6359220044794016,0.6270742110000608,0.5288311363920832,0.5980533865532085,0.363,0.6387085940463342,0.6487310850355481,0.6190091870693137,0.61,0.5269306595242423,0.602266437790306,0.6399677413138757,0.6889335542868947
0.5827947647055536,0.4737939075061894,0.5094186343395235,0.5139406386042717,0.4861981958996112,0.563688683627658,0.5278558171198429,0.4549036571698536,0.5056873183286571,0.3216442181430909,0.5129913392823777,0.5039197146219501,0.5002606607704501,0.5020000000000001,0.5995067642387535,0.522432756675878,0.4928414951751635,0.5167998768197889,0.5065133406289403,0.4202496357774369,0.4751577888601558,0.265,0.5215189717786771,0.5272777145005696,0.4970201556951077,0.487,0.3455895647811871,0.4740198122750869,0.5199677413138757,0.5749908048905317
0.4133134570271523,0.2955413157466664,0.3336762079612976,0.3387089407776929,0.3097827060727899,0.3906913006650605,0.3476426764974461,0.2754568615340611,0.3253682020900103,0.1657203258203316,0.3388572890724001,0.3270076099629931,0.3251459057326424,0.3201111111111112,0.4370090189850047,0.3478367110745839,0.3078325489619051,0.3429220044794016,0.3303011619807504,0.2283746744900703,0.298263063263699,0.148,0.3478582587187966,0.3494046059970147,0.3230201556951077,0.309,0.1515260026784091,0.2970481523666599,0.3456798342559739,0.4030351612211054
0.1980634488468621,0.0888161419614716,0.1234779694054036,0.1252325804217699,0.1025538310397096,0.1751961858014979,0.1281249934318944,0.0879258426884352,0.1088444761327773,0.0485496180910157,0.1295356987568232,0.1165585992638159,0.1180509817977464,0.1061111111111111,0.2260105221491722,0.1330275237421021,0.0908456285498546,0.1359220044794015,0.1160168630630957,0.0553113675886991,0.0935588954352029,0.064,0.1330127279390711,0.1319121719827954,0.1180201556951077,0.108,0.0334913324405302,0.0874489245783927,0.1354902354268178,0.1863826197961515
0.0090224603479158,0.0,1.0179065551313852e-05,0.0,0.0005516159078033,0.0007480732658533,0.0005040890690984,0.0,0.000538017215678,0.0011355293358685,0.0,0.0012126707569696,0.0,0.0,0.0245067642387535,0.0,0.0,0.0,0.000258557614577,0.0,0.0,0.016,0.0,0.0017462170071096,0.0,0.001,0.0,0.0,0.0,0.0041459632647844
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
